암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzUxIyQxIyQxIyQ4MiQyNjE4MzIjNzEjJDEjJDgjJDgz,하이탑정형외과의원,의원,경기도,광주시,"경기도 광주시 태전중앙2길 21, 901-907호 (태전동)",정형외과,2025-01-13
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ3OSQzNjE4MzIjNjEjJDEjJDAjJDgz,하종섭피부과의원,의원,경기도,구리시,"경기도 구리시 검배로6번길 3, 2층 (수택동, 백조빌딩)",피부과,1985-03-18
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQwMyQyNjEwMDIjODEjJDEjJDIjJDgz,하태성정형외과의원,의원,경기도,고양시 일산서구,"경기도 고양시 일산서구 중앙로 1371 (주엽동, 강선마을복합상가동  2층일부)",정형외과,2005-02-11
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ3OSQzNjE4MzIjNTEjJDEjJDIjJDgz,하트봄내과의원,의원,경기도,안산시 단원구,"경기도 안산시 단원구 광덕3로 167, 신영프라자 204,205호 (고잔동)",내과,2020-11-27
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzUxIyQxIyQ1IyQwMyQyNjE4MzIjODEjJDEjJDIjJDgz,하트비트분석의원,의원,경기도,성남시 분당구,"경기도 성남시 분당구 황새울로 321, 비지니스호텔갤러리 6층 601-1호 (서현동)",일반의,2022-04-07
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQ2MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,하프의원,의원,경기도,수원시 영통구,"경기도 수원시 영통구 도청로 103, e편한세상 시티 광교 1층 113호~118호 (이의동)",일반의,2023-12-22
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,학교법인 을지학원 의정부을지대학교병원,종합병원,경기도,의정부시,"경기도 의정부시 동일로 712, 을지대학교 의정부캠퍼스 및 부속병원 (금오동)",해당사항없음,2020-11-23
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQ4MiQzNjE0ODEjNjEjJDEjJDQjJDgz,한&김 소아청소년과의원,의원,경기도,이천시,"경기도 이천시 부발읍 대산로 476-13, 2층 (덕원빌딩)",소아청소년과,2002-01-11
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNTEjJDEjJDYjJDgz,한강아이제일병원,병원,경기도,김포시,"경기도 김포시 김포한강11로 133, 중앙프라자 2,3,5층 (운양동)",일반의,2017-01-03
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQ3IyQ4MiQzNjEyMjIjNjEjJDEjJDgjJDgz,한강연세병원,병원,경기도,동두천시,경기도 동두천시 평화로2169번길 24 (송내동),일반의,2021-03-05
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjEwMDIjNjEjJDEjJDQjJDgz,한강연세의원,의원,경기도,김포시,"경기도 김포시 김포한강8로 172, 5층 502-503호 (마산동)",일반의,2025-06-02
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ3OSQzNjEwMDIjNjEjJDEjJDAjJDgz,한강정신건강의학과의원,의원,경기도,김포시,"경기도 김포시 김포한강4로 113, 304호 (장기동)",정신건강의학과,2013-03-18
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,한강정형외과의원,의원,경기도,김포시,"경기도 김포시 풍무로 25, 301호 (풍무동, 센트럴메디프라자)",정형외과,1998-12-31
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ4OSQ0NjEwMDIjODEjJDEjJDYjJDgz,한강키즈웰의원,의원,경기도,김포시,"경기도 김포시 김포한강7로 71, 2층 (구래동, 이마트 김포한강점)",일반의,2015-01-16
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQ5MiQ0NjE0ODEjODEjJDEjJDIjJDgz,한결나은가정의학과의원,의원,경기도,파주시,"경기도 파주시 해올1길 7, 503호, 504호 (다율동)",가정의학과,2022-05-04
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ4MiQzNjEwMDIjODEjJDEjJDIjJDgz,한결내과의원,의원,경기도,수원시 권선구,"경기도 수원시 권선구 세권로 157, 3층 (권선동, 온정빌딩)",내과,1988-12-23
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQ3IyQ2MiQyNjE4MzIjNzEjJDEjJDgjJDgz,한결내과의원,의원,경기도,용인시 기흥구,경기도 용인시 기흥구 신갈로58번길 17 (신갈동),내과,2004-01-27
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQzIyQ3OSQ0NjE0ODEjNTEjJDEjJDYjJDgz,한결내과의원,의원,경기도,이천시,"경기도 이천시 영창로 221-2, 인덕빌딩 (창전동)",내과,2016-04-22
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQ4MiQzNjE0ODEjNjEjJDEjJDgjJDgz,한결마취통증의학과의원,의원,경기도,고양시 일산서구,"경기도 고양시 일산서구 고양대로675번길 32, 1층 (일산동)",마취통증의학과,2006-02-17
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ5MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,한결피부과의원,의원,경기도,안양시 만안구,경기도 안양시 만안구 안양로 260 (안양동),피부과,1991-04-29
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ3OSQyNjE4MzIjNTEjJDEjJDIjJDgz,한경숙내과의원,의원,경기도,고양시 일산동구,"경기도 고양시 일산동구 중앙로 1036, 3층 일부호 (백석동, 베스트 고양터미널)",내과,2017-02-28
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQyIyQ1IyQwMCQzNjE0ODEjNDEjJDEjJDgjJDgz,한광선소아청소년과의원,의원,경기도,성남시 분당구,"경기도 성남시 분당구 야탑로 95, 5층 6호 (야탑동, 세신옴니코아)",소아청소년과,1995-03-10
