ym,value
202302,38910
202303,44067
202304,41402
202305,39403
202306,39358
202307,38659
202308,42995
202309,36823
202310,40633
202311,39957
202312,35577
202401,44899
202402,37245
202403,37360
202404,39430
202405,40857
202406,34471
202407,40039
202408,36938
202409,36568
202410,39232
202411,40540
202412,40114
202501,38778
202502,35808
202503,41082
202504,41830
202505,41506
202506,42663
202507,43466
202508,41585
202509,41807
202510,37776
202511,39512
202512,42709
