ym,1w_mean,2w_mean,3w_mean,4w_mean
201801,0.0,0.3,0.028571428571428574,0.22000000000000003
201802,0.04285714285714286,0.05714285714285715,0.0,3.757142857142857
201803,3.1,0.7999999999999999,7.328571428571429,0.0
201804,5.085714285714286,1.4714285714285715,0.0,7.366666666666666
201805,3.557142857142857,3.528571428571429,12.528571428571428,2.1599999999999997
201806,0.0,7.057142857142858,0.18571428571428572,10.366666666666667
201807,16.014285714285712,5.242857142857143,0.0,0.0
201808,0.0,0.15714285714285717,4.3,18.369999999999997
201809,3.0857142857142854,0.0,2.4857142857142853,0.7888888888888889
201810,9.671428571428569,2.7285714285714286,0.08571428571428572,2.88
201811,0.35714285714285715,7.1571428571428575,0.6285714285714287,1.0666666666666667
201812,1.7714285714285711,0.5142857142857143,0.08571428571428572,0.0
201901,0.0,0.0,0.09999999999999999,0.0
201902,2.7857142857142856,0.0,1.0142857142857142,0.0
201903,0.0,0.014285714285714287,3.228571428571428,0.5700000000000001
201904,0.0,3.0142857142857147,0.2571428571428572,2.022222222222222
201905,0.0,0.0,3.2428571428571433,1.05
201906,4.671428571428572,0.4857142857142857,0.7857142857142857,0.8999999999999999
201907,0.0,2.1285714285714286,6.757142857142857,15.86
201908,3.7142857142857144,9.928571428571429,1.0,4.12
201909,15.714285714285714,17.0,0.0,0.0
201910,4.457142857142857,0.0,0.0,0.06999999999999999
201911,0.0,4.085714285714285,8.142857142857142,0.4222222222222222
201912,0.8571428571428571,0.5142857142857142,1.2571428571428573,0.6599999999999999
202001,6.357142857142857,0.4857142857142857,0.014285714285714287,0.06
202002,0.1285714285714286,0.8428571428571429,2.8428571428571425,2.875
202003,0.0,0.8714285714285713,0.0,0.45999999999999996
202004,0.0,0.0,1.9714285714285713,0.0
202005,0.014285714285714287,4.385714285714285,7.514285714285715,1.78
202006,0.5714285714285714,1.3714285714285714,0.014285714285714287,9.61111111111111
202007,0.19999999999999998,9.171428571428573,3.4714285714285715,15.36
202008,26.67142857142857,35.55714285714286,3.957142857142857,2.31
202009,19.900000000000002,1.2571428571428573,2.8000000000000003,0.0
202010,0.18571428571428572,0.0,0.028571428571428574,0.04
202011,3.0714285714285716,0.0,8.27142857142857,0.24444444444444446
202012,0.0,0.5571428571428572,0.17142857142857146,0.15
202101,0.3,0.15714285714285717,2.1285714285714286,0.27
202102,0.4857142857142857,0.0,0.45714285714285713,0.0
202103,8.385714285714286,0.0,0.5999999999999999,3.05
202104,7.885714285714286,3.442857142857143,0.05714285714285715,4.133333333333334
202105,5.1428571428571415,0.7428571428571429,14.485714285714286,4.890000000000001
202106,2.4285714285714284,1.342857142857143,1.9714285714285713,0.5777777777777778
202107,9.357142857142858,1.5999999999999999,1.0714285714285714,0.0
202108,1.8142857142857143,3.2714285714285714,18.37142857142857,10.48
202109,4.385714285714285,0.0,10.7,2.2444444444444445
202110,2.185714285714286,1.3142857142857143,1.0142857142857142,0.0
202111,0.34285714285714286,6.428571428571429,0.5571428571428572,3.0777777777777775
202112,0.05714285714285715,0.09999999999999999,0.9142857142857143,0.01
202201,0.07142857142857142,0.17142857142857143,0.08571428571428573,0.21000000000000002
202202,0.17142857142857143,0.14285714285714285,0.0,0.07142857142857142
202203,0.6142857142857142,5.957142857142856,1.7285714285714284,2.65
202204,0.0,0.4571428571428572,0.0,1.9888888888888887
202205,0.04285714285714286,0.09999999999999999,0.34285714285714286,0.2
202206,0.3,0.7000000000000001,3.1999999999999997,28.511111111111113
202207,0.07142857142857142,24.071428571428573,1.9285714285714286,3.2700000000000005
202208,32.94285714285714,50.642857142857146,1.6142857142857143,3.95
202209,21.157142857142855,0.0,2.2,0.47777777777777775
202210,11.700000000000001,2.8857142857142857,0.0,0.0
202211,0.0,6.814285714285715,0.14285714285714285,3.6222222222222222
202212,0.3142857142857142,0.48571428571428577,1.1,0.06999999999999999
202301,0.4571428571428572,5.6571428571428575,0.39999999999999997,0.16
202302,0.0,0.028571428571428574,0.04285714285714286,0.0
202303,0.0,1.4285714285714286,0.0,0.0
202304,7.6571428571428575,0.04285714285714286,0.5857142857142856,1.3777777777777778
202305,8.828571428571427,0.0,0.04285714285714286,7.17
202306,0.0,2.642857142857143,5.1000000000000005,6.888888888888889
202307,9.985714285714284,30.2,0.4857142857142857,8.61
202308,1.1142857142857143,19.82857142857143,0.0,15.09
202309,0.028571428571428574,3.2285714285714286,8.914285714285715,4.888888888888889
202310,0.1285714285714286,1.3571428571428572,0.9142857142857144,0.0
202311,6.057142857142858,0.5285714285714286,1.7714285714285711,0.5111111111111111
202312,0.35714285714285715,4.3428571428571425,3.985714285714286,1.51
202401,0.3,0.5285714285714286,1.5,0.0
202402,1.0714285714285714,0.0,6.3,1.525
202403,0.0,0.0,0.014285714285714287,1.9100000000000001
202404,0.0,0.0,3.5142857142857147,1.1888888888888889
202405,9.985714285714286,3.9857142857142853,2.857142857142857,0.48
202406,0.014285714285714287,1.4142857142857144,0.6285714285714287,9.711111111111112
202407,10.742857142857144,3.3999999999999995,27.171428571428574,5.37
202408,0.7714285714285715,1.5857142857142856,9.857142857142858,0.12
202409,1.2142857142857142,4.471428571428571,11.814285714285715,0.044444444444444446
202410,0.3285714285714286,0.0,9.785714285714286,1.1300000000000001
202411,0.0,0.014285714285714287,0.9428571428571428,6.166666666666667
202412,0.41428571428571426,0.0,0.3,0.0
202501,1.4857142857142858,0.04285714285714286,0.0,0.89
202502,0.14285714285714285,0.35714285714285715,0.0,0.0
202503,2.957142857142857,0.028571428571428574,0.7142857142857143,0.06
202504,2.5285714285714285,5.142857142857143,1.457142857142857,4.699999999999999
202505,4.228571428571429,4.442857142857143,4.885714285714286,0.32999999999999996
202506,0.0,0.17142857142857143,19.385714285714283,1.2222222222222223
202507,0.09999999999999999,2.4285714285714284,34.628571428571426,0.0
