date,point,value
20181216,102,57
20181217,102,41
20181218,102,42
20181219,102,56
20181220,102,36
20181221,102,42
20181222,102,42
20181223,102,39
20181224,102,19
20181225,102,53
20181226,102,26
20181227,102,34
20181228,102,27
20181229,102,23
20181230,102,17
20181231,102,17
20190101,102,21
20190102,102,19
20190103,102,21
20190104,102,68
20190105,102,31
20190106,102,19
20190107,102,38
20190108,102,31
20190109,102,27
20190110,102,42
20190111,102,75
20190112,102,76
20190113,102,110
20190114,102,158
20190115,102,71
20190116,102,24
20190117,102,40
20190118,102,39
20190119,102,57
20190120,102,29
20190121,102,39
20190122,102,72
20190123,102,48
20190124,102,17
20190125,102,34
20190126,102,22
20190127,102,25
20190128,102,84
20190129,102,50
20190130,102,43
20190131,102,33
20190201,102,39
20190202,102,60
20190203,102,52
20190204,102,51
20190205,102,102
20190206,102,96
20190207,102,36
20190208,102,20
20190209,102,23
20190210,102,20
20190211,102,32
20190212,102,39
20190213,102,21
20190214,102,15
20190215,102,27
20190216,102,35
20190217,102,24
20190218,102,24
20190219,102,18
20190220,102,63
20190221,102,54
20190222,102,49
20190223,102,49
20190224,102,41
20190225,102,51
20190226,201,46
20190227,102,47
20190228,102,91
20190301,102,110
20190302,102,72
20190303,102,146
20190304,102,132
20190305,102,105
20190306,102,80
20190307,102,39
20190308,102,27
20190309,102,26
20190310,102,42
20190311,102,40
20190312,102,61
20190313,102,33
20190314,102,36
20190315,102,24
20190316,102,33
20190317,102,25
20190318,102,32
20190319,102,33
20190320,102,36
20190321,102,33
20190322,102,24
20190323,102,24
20190324,102,23
20190325,102,51
20190326,102,49
20190327,102,59
20190328,102,27
20190329,102,28
20190330,102,34
20190331,102,28
20190401,102,19
20190402,102,23
20190403,102,32
20190404,102,35
20190405,102,92
20190406,102,91
20190407,102,50
20190408,102,23
20190409,102,25
20190410,102,16
20190411,102,28
20190412,102,40
20190413,102,40
20190414,102,33
20190415,102,66
20190416,102,45
20190417,102,28
20190418,102,38
20190419,102,35
20190420,102,28
20190421,102,21
20190422,102,59
20190423,102,52
20190424,102,32
20190425,102,44
20190426,102,11
20190427,102,15
20190428,102,14
20190429,102,19
20190430,102,16
20190501,102,91
20190502,102,49
20190503,102,54
20190504,102,50
20190505,102,39
20190506,102,48
20190507,102,46
20190508,102,54
20190509,102,35
20190510,102,22
20190511,102,25
20190512,102,26
20190513,201,34
20190514,102,30
20190515,102,36
20190516,102,37
20190517,102,38
20190518,102,34
20190519,102,10
20190520,102,43
20190521,102,39
20190522,102,49
20190523,102,52
20190524,102,73
20190525,102,44
20190526,102,34
20190527,102,17
20190528,102,31
20190529,201,35
20190530,102,38
20190531,102,18
20190601,102,28
20190602,102,21
20190603,201,19
20190604,201,24
20190605,102,12
20190606,201,32
20190607,102,28
20190608,102,23
20190609,102,22
20190610,229,14
20190611,102,13
20190612,102,16
20190613,102,19
20190614,102,18
20190615,201,26
20190616,102,16
20190617,102,21
20190618,201,22
20190619,201,20
20190620,102,15
20190621,102,15
20190622,102,23
20190623,102,22
20190624,102,20
20190625,102,18
20190626,102,29
20190627,102,21
20190628,102,23
20190629,102,21
20190630,102,24
20190701,102,21
20190702,102,22
20190703,102,17
20190704,102,26
20190705,102,17
20190706,102,30
20190707,102,28
20190708,102,19
20190709,102,19
20190710,102,18
20190711,102,12
20190712,102,16
20190713,102,28
20190714,102,16
20190715,201,42
20190716,102,22
20190717,102,15
20190718,102,30
20190719,102,45
20190720,102,19
20190721,102,32
20190722,102,28
20190723,102,10
20190724,201,18
20190725,102,19
20190726,201,13
20190727,201,19
20190728,102,15
20190729,102,20
20190730,102,29
20190731,102,24
20190801,102,16
20190802,102,15
20190803,102,12
20190804,102,16
20190805,102,21
20190806,102,51
20190807,102,44
20190808,201,37
20190809,102,17
20190810,102,23
20190811,102,26
20190812,102,30
20190813,102,24
20190814,102,20
20190815,102,18
20190816,102,28
20190817,102,24
20190818,102,18
20190819,102,13
20190820,102,33
20190821,102,35
20190822,102,31
20190823,102,28
20190824,102,16
20190825,102,19
20190826,102,22
20190827,102,15
20190828,201,21
20190829,102,29
20190830,102,16
20190831,102,14
20190901,102,20
20190902,102,17
20190903,102,26
20190904,102,20
20190905,102,18
20190906,102,8
20190907,102,23
20190908,102,62
20190909,102,44
20190910,102,23
20190911,102,29
20190912,102,13
20190913,102,15
20190914,102,13
20190915,102,15
20190916,102,20
20190917,102,20
20190918,102,27
20190919,102,14
20190920,102,32
20190921,102,35
20190922,102,24
20190923,102,19
20190924,102,17
20190925,102,21
20190926,102,32
20190927,102,38
20190928,102,27
20190929,102,33
20190930,201,52
20191001,102,41
20191002,102,54
20191003,102,43
20191004,102,51
20191005,102,16
20191006,102,17
20191007,102,13
20191008,-9,-9
20191009,-9,-9
20191010,102,19
20191011,102,44
20191012,102,41
20191013,102,23
20191014,102,27
20191015,102,22
20191016,102,17
20191017,102,21
20191018,102,25
20191019,102,33
20191020,102,46
20191021,102,45
20191022,102,55
20191023,102,49
20191024,102,37
20191025,102,28
20191026,102,16
20191027,102,20
20191028,102,68
20191029,102,74
20191030,102,38
20191031,102,184
20191101,102,38
20191102,102,23
20191103,102,46
20191104,102,34
20191105,102,34
20191106,102,30
20191107,102,32
20191108,102,25
20191109,102,40
20191110,201,43
20191111,102,23
20191112,102,23
20191113,102,30
20191114,102,22
20191115,102,40
20191116,102,24
20191117,102,28
20191118,102,104
20191119,102,27
20191120,102,17
20191121,102,29
20191122,102,49
20191123,102,34
20191124,102,25
20191125,102,22
20191126,201,26
20191127,102,29
20191128,102,14
20191129,102,12
20191130,102,22
20191201,102,40
20191202,102,21
20191203,102,25
20191204,102,26
20191205,102,23
20191206,102,14
20191207,102,27
20191208,102,23
20191209,102,69
20191210,102,92
20191211,102,57
20191212,102,12
20191213,102,25
20191214,102,19
20191215,102,27
20191216,102,36
20191217,102,24
20191218,102,18
20191219,102,16
20191220,102,16
20191221,102,63
20191222,102,49
20191223,102,30
20191224,102,11
20191225,102,33
20191226,102,41
20191227,102,22
20191228,102,39
20191229,102,39
20191230,102,35
20191231,102,20
20200101,102,27
20200102,102,55
20200103,102,45
20200104,102,40
20200105,102,36
20200106,102,30
20200107,102,18
20200108,102,50
20200109,102,22
20200110,102,28
20200111,102,31
20200112,102,21
20200113,102,17
20200114,102,21
20200115,102,19
20200116,102,24
20200117,102,32
20200118,102,29
20200119,102,75
20200120,102,39
